temperature,rh,ws,rain,ffmc,dmc,dc,isi,bui,fwi,month,danger_score,is_dry,peak_season,wind_dry_interaction,fire
30.0,89.0,16.0,0.6,37.3,1.1,7.8,0.0,1.6,0.0,6.0,0.39100000000000007,0,1,176.0,0
31.0,78.0,14.0,0.3,56.9,1.9,8.0,0.7,2.4,0.2,6.0,0.784,0,1,308.0,0
31.0,55.0,16.0,0.1,79.9,4.5,16.0,2.5,5.3,1.4,6.0,2.227,0,1,720.0,0
30.0,80.0,16.0,0.4,59.8,3.4,27.1,0.9,5.1,0.4,6.0,1.4400000000000002,0,1,320.0,0
30.0,78.0,14.0,0.0,81.0,6.3,31.6,2.6,8.4,2.2,6.0,3.162,0,1,308.0,1
31.0,67.0,17.0,0.1,79.1,7.0,39.5,2.4,9.7,2.3,6.0,3.4349999999999996,0,1,561.0,0
32.0,62.0,18.0,0.1,81.4,8.2,47.7,3.3,11.5,3.8,6.0,4.582000000000001,0,1,684.0,1
32.0,66.0,17.0,0.0,85.9,11.2,55.8,5.6,14.9,7.5,6.0,7.198,0,1,578.0,1
31.0,64.0,15.0,0.0,86.7,14.2,63.8,5.7,18.3,8.4,6.0,8.258,0,1,540.0,1
31.0,64.0,18.0,0.0,86.8,17.8,71.8,6.7,21.6,10.6,6.0,9.998,0,1,648.0,1
34.0,53.0,18.0,0.0,89.0,21.6,80.3,9.2,25.8,15.0,6.0,13.115,0,1,846.0,1
32.0,55.0,14.0,0.0,89.1,25.5,88.5,7.6,29.7,13.9,6.0,13.129,0,1,630.0,1
32.0,47.0,13.0,0.3,79.9,18.4,84.4,2.2,23.8,3.9,6.0,6.877000000000001,0,1,689.0,0
33.0,50.0,14.0,0.0,88.7,22.9,92.8,7.2,28.3,12.9,6.0,12.376000000000003,0,1,700.0,1
29.0,68.0,19.0,1.0,59.9,2.5,8.6,1.1,2.9,0.4,7.0,1.05,0,1,608.0,0
27.0,75.0,19.0,1.2,55.7,2.4,8.3,0.8,2.8,0.3,7.0,0.919,0,1,475.0,0
32.0,76.0,20.0,0.7,63.1,2.6,9.2,1.3,3.0,0.5,7.0,1.1480000000000001,0,1,480.0,0
33.0,78.0,17.0,0.0,80.1,4.6,18.5,2.7,5.7,1.7,7.0,2.448,0,1,374.0,0
33.0,66.0,14.0,0.0,85.9,7.6,27.9,4.8,9.1,4.9,7.0,4.84,0,1,476.0,1
32.0,63.0,14.0,0.0,87.0,10.9,37.0,5.6,12.5,6.8,7.0,6.441,0,1,518.0,1
35.0,64.0,18.0,0.2,80.0,9.7,40.4,2.8,12.1,3.2,7.0,4.366,0,1,648.0,0
33.0,68.0,19.0,0.0,85.6,12.5,49.8,6.0,15.4,8.0,7.0,7.578,0,1,608.0,1
32.0,68.0,14.0,1.4,66.6,7.7,9.2,1.1,7.4,0.6,7.0,2.036,0,1,448.0,0
33.0,69.0,13.0,0.7,66.6,6.0,9.3,1.1,5.8,0.5,7.0,1.677,0,1,403.0,0
33.0,76.0,14.0,0.0,81.1,8.1,18.7,2.6,8.1,2.2,7.0,3.1100000000000003,0,1,336.0,0
31.0,75.0,13.0,0.1,75.1,7.9,27.7,1.5,9.2,0.9,7.0,2.5869999999999997,0,1,325.0,0
34.0,81.0,15.0,0.0,81.8,9.7,37.2,3.0,11.7,3.4,7.0,4.387,0,1,285.0,0
34.0,61.0,13.0,0.6,73.9,7.8,22.9,1.4,8.4,0.8,7.0,2.3870000000000005,0,1,507.0,0
30.0,80.0,19.0,0.4,60.7,5.2,17.0,1.1,5.9,0.5,7.0,1.6800000000000002,0,1,380.0,0
28.0,76.0,21.0,0.0,72.6,7.0,25.5,0.7,8.3,0.4,7.0,2.04,0,1,504.0,0
29.0,70.0,14.0,0.0,82.8,9.4,34.1,3.2,11.1,3.6,7.0,4.388000000000001,0,1,420.0,1
31.0,68.0,14.0,0.0,85.4,12.1,43.1,4.6,14.2,6.0,7.0,6.2540000000000004,0,1,448.0,1
35.0,59.0,17.0,0.0,88.1,12.0,52.8,7.7,18.2,10.9,7.0,9.651000000000002,0,1,697.0,1
33.0,65.0,15.0,0.1,81.4,12.3,62.1,2.8,16.5,4.0,7.0,5.561000000000001,0,1,525.0,1
33.0,70.0,17.0,0.0,85.4,18.5,71.5,5.2,22.4,8.8,7.0,9.136,0,1,510.0,1
28.0,79.0,18.0,0.1,73.4,16.4,79.9,1.8,21.7,2.8,7.0,5.897,0,1,378.0,0
27.0,66.0,22.0,0.4,68.2,10.5,71.3,1.8,15.4,2.1,7.0,4.368,0,1,748.0,0
28.0,78.0,16.0,0.1,70.0,9.6,79.7,1.4,14.7,1.3,7.0,3.818,0,1,352.0,0
31.0,65.0,18.0,0.0,84.3,12.5,88.7,4.8,18.5,7.3,7.0,7.6770000000000005,0,1,630.0,1
36.0,53.0,19.0,0.0,89.2,17.1,98.6,10.0,23.9,15.3,7.0,13.019000000000002,0,1,893.0,1
36.0,48.0,13.0,0.0,90.3,22.2,108.5,8.7,29.4,15.3,7.0,13.864,0,1,676.0,1
33.0,76.0,15.0,0.0,86.5,24.4,117.8,5.6,32.1,11.3,7.0,12.150000000000002,0,1,360.0,1
32.0,73.0,15.0,0.0,86.6,26.7,127.0,5.6,35.0,11.9,7.0,12.971,0,1,405.0,1
31.0,79.0,15.0,0.0,85.4,28.5,136.0,4.7,37.4,10.7,7.0,12.783000000000001,0,1,315.0,1
35.0,64.0,17.0,0.0,87.2,31.9,145.7,6.8,41.2,15.7,7.0,15.986,0,1,612.0,1
36.0,45.0,14.0,0.0,78.8,4.8,10.2,2.0,4.7,0.9,8.0,1.8270000000000002,0,1,770.0,0
35.0,55.0,12.0,0.4,78.0,5.8,10.0,1.7,5.5,0.8,8.0,1.8750000000000002,0,1,540.0,0
35.0,63.0,14.0,0.3,76.6,5.7,10.0,1.7,5.5,0.8,8.0,1.8670000000000002,0,1,518.0,0
34.0,69.0,13.0,0.0,85.0,8.2,19.8,4.0,8.2,3.9,8.0,4.098999999999999,0,1,403.0,1
34.0,65.0,13.0,0.0,86.8,11.1,29.7,5.2,11.5,6.1,8.0,5.883,0,1,455.0,1
32.0,75.0,14.0,0.0,86.4,13.0,39.1,5.2,14.2,6.8,8.0,6.689,0,1,350.0,1
32.0,69.0,16.0,0.0,86.5,15.5,48.6,5.5,17.2,8.0,8.0,7.835,0,1,496.0,1
32.0,60.0,18.0,0.3,77.1,11.3,47.0,2.2,14.1,2.6,8.0,4.404000000000001,0,1,720.0,0
35.0,59.0,17.0,0.0,87.4,14.8,57.0,6.9,17.9,9.9,8.0,9.031000000000002,0,1,697.0,1
35.0,55.0,14.0,0.0,88.9,18.6,67.0,7.4,21.9,11.6,8.0,10.615,0,1,630.0,1
35.0,63.0,13.0,0.0,88.9,21.7,77.0,7.1,25.5,12.1,8.0,11.467,0,1,481.0,1
35.0,51.0,13.0,0.3,81.3,15.6,75.1,2.5,20.7,4.2,8.0,6.439000000000001,0,1,637.0,0
35.0,63.0,15.0,0.0,87.0,19.0,85.1,5.9,24.4,10.2,8.0,10.247000000000002,0,1,555.0,1
33.0,66.0,14.0,0.0,87.0,21.7,94.7,5.7,27.2,10.6,8.0,10.920000000000002,0,1,476.0,1
36.0,55.0,13.0,0.3,82.4,15.6,92.5,3.7,22.0,6.3,8.0,7.777,0,1,585.0,1
36.0,61.0,18.0,0.3,80.2,11.7,90.4,2.8,17.6,4.2,8.0,5.871,0,1,702.0,1
37.0,52.0,18.0,0.0,89.3,16.0,100.7,9.7,22.9,14.6,8.0,12.482,0,1,864.0,1
36.0,54.0,18.0,0.0,89.4,20.0,110.9,9.7,27.5,16.1,8.0,13.998,0,1,828.0,1
35.0,62.0,19.0,0.0,89.4,23.2,120.9,9.7,31.3,17.2,8.0,15.188000000000002,0,1,722.0,1
35.0,68.0,19.0,0.0,88.3,25.9,130.6,8.8,34.7,16.8,8.0,15.522000000000002,0,1,608.0,1
36.0,58.0,19.0,0.0,88.6,29.6,141.1,9.2,38.8,18.4,8.0,17.074,0,1,798.0,1
36.0,55.0,18.0,0.0,89.1,33.5,151.3,9.9,43.1,20.4,8.0,18.877000000000002,0,1,810.0,1
36.0,53.0,16.0,0.0,89.5,37.6,161.5,10.4,47.5,22.3,8.0,20.619,0,1,752.0,1
34.0,64.0,14.0,0.0,88.9,40.5,171.3,9.0,50.9,20.9,8.0,20.444000000000003,0,1,504.0,1
35.0,60.0,15.0,0.0,88.9,43.9,181.3,8.2,54.7,20.3,8.0,20.810000000000002,0,1,600.0,1
31.0,78.0,18.0,0.0,85.8,45.6,190.6,4.7,57.1,13.7,8.0,17.924000000000003,0,1,396.0,1
33.0,82.0,21.0,0.0,84.9,47.0,200.2,4.4,59.3,13.2,8.0,18.104,0,1,378.0,1
34.0,64.0,16.0,0.0,89.4,50.2,210.4,7.3,62.9,19.9,8.0,22.104000000000003,0,1,576.0,1
35.0,48.0,18.0,0.0,90.1,54.2,220.4,12.5,67.4,30.2,8.0,28.182000000000002,0,1,936.0,1
35.0,70.0,17.0,0.8,72.7,25.2,180.4,1.7,37.4,4.2,8.0,9.6,0,1,510.0,0
28.0,80.0,21.0,16.8,52.5,8.7,8.7,0.6,8.3,0.3,8.0,1.9760000000000002,0,1,420.0,0
25.0,76.0,17.0,7.2,46.0,1.3,7.5,0.2,1.8,0.1,9.0,0.514,0,1,408.0,0
22.0,86.0,15.0,10.1,30.5,0.7,7.0,0.0,1.1,0.0,9.0,0.278,0,1,210.0,0
25.0,78.0,15.0,3.8,42.6,1.2,7.5,0.1,1.7,0.0,9.0,0.43200000000000005,0,1,330.0,0
29.0,73.0,17.0,0.1,68.4,1.9,15.7,1.4,2.9,0.5,9.0,1.145,0,1,459.0,0
29.0,75.0,16.0,0.0,80.8,3.4,24.0,2.8,5.1,1.7,9.0,2.3429999999999995,0,1,400.0,1
29.0,74.0,19.0,0.1,75.8,3.6,32.2,2.1,5.6,0.9,9.0,1.984,0,1,494.0,0
31.0,71.0,17.0,0.3,69.6,3.2,30.1,1.5,5.1,0.6,9.0,1.651,0,1,493.0,0
30.0,73.0,17.0,0.9,62.0,2.6,8.4,1.1,3.0,0.4,9.0,1.0670000000000002,0,1,459.0,0
30.0,77.0,15.0,1.0,56.1,2.1,8.4,0.7,2.6,0.2,9.0,0.8230000000000001,0,1,345.0,0
33.0,73.0,12.0,1.8,59.9,2.2,8.9,0.7,2.7,0.3,9.0,0.8930000000000001,0,1,324.0,0
30.0,77.0,21.0,1.8,58.5,1.9,8.4,1.1,2.4,0.3,9.0,0.9030000000000001,0,1,483.0,0
29.0,88.0,13.0,0.0,71.0,2.6,16.6,1.2,3.7,0.5,9.0,1.2500000000000002,0,1,156.0,0
25.0,86.0,21.0,4.6,40.9,1.3,7.5,0.1,1.8,0.0,9.0,0.44400000000000006,0,1,294.0,0
22.0,76.0,26.0,8.3,47.4,1.1,7.0,0.4,1.6,0.1,9.0,0.508,0,1,624.0,0
24.0,82.0,15.0,0.4,44.9,0.9,7.3,0.2,1.4,0.0,9.0,0.38599999999999995,0,1,270.0,0
30.0,65.0,14.0,0.0,78.1,3.2,15.7,1.9,4.2,0.8,9.0,1.635,0,1,490.0,0
31.0,52.0,14.0,0.0,87.7,6.4,24.3,6.2,7.7,5.9,9.0,5.250000000000001,0,1,672.0,1
32.0,49.0,11.0,0.0,89.4,9.8,33.1,6.8,11.3,7.7,9.0,6.815000000000001,0,1,561.0,1
29.0,57.0,14.0,0.0,89.3,12.5,41.3,7.8,14.2,9.7,9.0,8.380999999999998,0,1,602.0,1
28.0,84.0,18.0,0.0,83.8,13.5,49.3,4.5,16.0,6.3,9.0,6.692,0,1,288.0,1
31.0,55.0,11.0,0.0,87.8,16.5,57.9,5.4,19.2,8.3,9.0,8.347,0,1,495.0,1
31.0,50.0,19.0,0.6,77.8,10.6,41.4,2.4,12.9,2.8,9.0,4.292,0,1,950.0,0
32.0,54.0,11.0,0.5,73.7,7.9,30.4,1.2,9.6,0.7,9.0,2.55,0,1,506.0,0
29.0,65.0,19.0,0.6,68.3,5.5,15.2,1.5,5.8,0.7,9.0,1.833,0,1,665.0,0
26.0,81.0,21.0,5.8,48.6,3.0,7.7,0.4,3.0,0.1,9.0,0.7910000000000001,0,1,399.0,0
31.0,54.0,11.0,0.0,82.0,6.0,16.3,2.5,6.2,1.7,9.0,2.528,0,1,506.0,0
31.0,66.0,11.0,0.0,85.7,8.3,24.9,4.0,9.0,4.1,9.0,4.336,0,1,374.0,1
32.0,47.0,14.0,0.7,77.5,7.1,8.8,1.8,6.8,0.9,9.0,2.197,0,1,742.0,0
26.0,80.0,16.0,1.8,47.4,2.9,7.7,0.3,3.0,0.1,9.0,0.7720000000000001,0,1,320.0,0
25.0,78.0,14.0,1.4,45.0,1.9,7.5,0.2,2.4,0.1,9.0,0.6320000000000001,0,1,308.0,0
32.0,71.0,12.0,0.7,57.1,2.5,8.2,0.6,2.8,0.2,6.0,0.8530000000000001,0,1,348.0,0
30.0,73.0,13.0,4.0,55.7,2.7,7.8,0.6,2.9,0.2,6.0,0.8670000000000001,0,1,351.0,0
29.0,80.0,14.0,2.0,48.7,2.2,7.6,0.3,2.6,0.1,6.0,0.698,0,1,280.0,0
30.0,64.0,14.0,0.0,79.4,5.2,15.4,2.2,5.6,1.0,6.0,2.056,0,1,504.0,0
32.0,60.0,14.0,0.2,77.1,6.0,17.6,1.8,6.5,0.9,6.0,2.124,0,1,560.0,0
35.0,54.0,11.0,0.1,83.7,8.4,26.3,3.1,9.3,3.1,6.0,3.8360000000000003,0,1,506.0,1
35.0,44.0,17.0,0.2,85.6,9.9,28.9,5.4,10.7,6.0,6.0,5.746000000000001,0,1,952.0,1
28.0,51.0,17.0,1.3,71.4,7.7,7.4,1.5,7.3,0.8,6.0,2.185,0,1,833.0,0
27.0,59.0,18.0,0.1,78.1,8.5,14.7,2.4,8.3,1.9,6.0,2.995,0,1,738.0,0
30.0,41.0,15.0,0.0,89.4,13.3,22.5,8.4,13.1,10.0,6.0,8.419,0,1,885.0,1
31.0,42.0,21.0,0.0,90.6,18.2,30.5,13.4,18.0,16.7,6.0,13.079999999999998,0,1,1218.0,1
27.0,58.0,17.0,0.0,88.9,21.3,37.8,8.7,21.2,12.9,6.0,11.236,0,1,714.0,1
30.0,52.0,15.0,2.0,72.3,11.4,7.8,1.4,10.9,0.9,6.0,2.9280000000000004,0,1,720.0,0
27.0,79.0,16.0,0.7,53.4,6.4,7.3,0.5,6.1,0.3,6.0,1.515,0,1,336.0,0
28.0,90.0,15.0,0.0,66.8,7.2,14.7,1.2,7.1,0.6,6.0,1.966,0,1,150.0,0
29.0,87.0,15.0,0.4,47.4,4.2,8.0,0.2,4.1,0.1,6.0,0.971,0,1,195.0,0
31.0,69.0,17.0,4.7,62.2,3.9,8.0,1.1,3.8,0.4,6.0,1.233,0,1,527.0,0
33.0,62.0,10.0,8.7,65.5,4.6,8.3,0.9,4.4,0.4,6.0,1.3240000000000003,0,1,380.0,0
32.0,67.0,14.0,4.5,64.6,4.4,8.2,1.0,4.2,0.4,6.0,1.2970000000000002,0,1,462.0,0
31.0,72.0,14.0,0.2,60.2,3.8,8.0,0.8,3.7,0.3,6.0,1.11,0,1,392.0,0
32.0,55.0,14.0,0.0,86.2,8.3,18.4,5.0,8.2,4.9,6.0,4.709,0,1,630.0,1
33.0,46.0,14.0,1.1,78.3,8.1,8.3,1.9,7.7,1.2,6.0,2.5199999999999996,0,1,756.0,0
33.0,59.0,16.0,0.8,74.2,7.0,8.3,1.6,6.7,0.8,6.0,2.087,0,1,656.0,0
35.0,68.0,16.0,0.0,85.3,10.0,17.0,4.9,9.9,5.3,6.0,5.182,0,1,512.0,1
34.0,70.0,16.0,0.0,86.0,12.8,25.6,5.4,12.7,6.7,6.0,6.398000000000001,0,1,480.0,1
36.0,62.0,16.0,0.0,87.8,16.5,34.5,7.0,16.4,9.5,6.0,8.59,0,1,608.0,1
36.0,55.0,15.0,0.0,89.1,20.9,43.3,8.0,20.8,12.0,6.0,10.677,0,1,675.0,1
37.0,37.0,13.0,0.0,92.5,27.2,52.4,11.7,27.1,18.4,6.0,15.257000000000001,0,1,819.0,1
37.0,36.0,13.0,0.6,86.2,17.9,36.7,4.8,17.8,7.2,6.0,7.538,0,1,832.0,1
34.0,42.0,15.0,1.7,79.7,12.0,8.5,2.2,11.5,2.2,6.0,3.7460000000000004,0,1,870.0,0
28.0,58.0,18.0,2.2,63.7,3.2,8.5,1.2,3.3,0.5,7.0,1.1980000000000002,0,1,756.0,0
33.0,48.0,16.0,0.0,87.6,7.9,17.8,6.8,7.8,6.4,7.0,5.598,0,1,832.0,1
34.0,56.0,17.0,0.1,84.7,9.7,27.3,4.7,10.3,5.2,7.0,5.191999999999999,0,1,748.0,1
34.0,58.0,18.0,0.0,88.0,13.6,36.8,8.0,14.1,9.9,7.0,8.49,0,1,756.0,1
34.0,45.0,18.0,0.0,90.5,18.7,46.4,11.3,18.7,15.0,7.0,12.123,0,1,990.0,1
35.0,42.0,15.0,0.3,84.7,15.5,45.1,4.3,16.7,6.3,7.0,6.848,0,1,870.0,1
38.0,43.0,13.0,0.5,85.0,13.0,35.4,4.1,13.7,5.2,7.0,5.773000000000001,0,1,741.0,1
35.0,47.0,18.0,6.0,80.8,9.8,9.7,3.1,9.4,3.0,7.0,3.823,0,1,954.0,1
36.0,43.0,15.0,1.9,82.3,9.4,9.9,3.2,9.0,3.1,7.0,3.8090000000000006,0,1,855.0,1
34.0,51.0,16.0,3.8,77.5,8.0,9.5,2.0,7.7,1.3,7.0,2.577,0,1,784.0,0
34.0,56.0,15.0,2.9,74.8,7.1,9.5,1.6,6.8,0.8,7.0,2.112,0,1,660.0,0
36.0,44.0,13.0,0.0,90.1,12.6,19.4,8.3,12.5,9.6,7.0,8.127999999999998,0,1,728.0,1
39.0,45.0,13.0,0.6,85.2,11.3,10.4,4.2,10.9,4.7,7.0,5.033,0,1,715.0,1
34.0,45.0,17.0,0.0,90.5,18.0,24.1,10.9,17.7,14.1,7.0,11.482999999999999,0,1,935.0,1
31.0,83.0,17.0,0.0,84.5,19.4,33.1,4.7,19.2,7.3,7.0,7.779,0,1,289.0,1
32.0,81.0,17.0,0.0,84.6,21.1,42.3,4.7,20.9,7.7,7.0,8.283,0,1,323.0,1
33.0,68.0,15.0,0.0,86.1,23.9,51.6,5.2,23.9,9.1,7.0,9.558000000000002,0,1,480.0,1
34.0,58.0,16.0,0.0,88.1,27.8,61.1,7.3,27.7,13.0,7.0,12.309999999999999,0,1,672.0,1
36.0,50.0,16.0,0.0,89.9,32.7,71.0,9.5,32.6,17.3,7.0,15.462,0,1,800.0,1
36.0,29.0,18.0,0.0,93.9,39.6,80.6,18.5,39.5,30.0,7.0,23.743000000000002,1,1,1278.0,1
32.0,48.0,18.0,0.0,91.5,44.2,90.1,13.2,44.0,25.4,7.0,21.716,0,1,936.0,1
31.0,71.0,17.0,0.0,87.3,46.6,99.0,6.9,46.5,16.3,7.0,17.291000000000004,0,1,493.0,1
33.0,63.0,17.0,1.1,72.8,20.9,56.6,1.6,21.7,2.5,7.0,5.763,0,1,629.0,0
39.0,64.0,9.0,1.2,73.8,11.7,15.9,1.1,11.4,0.7,7.0,2.894,0,1,324.0,0
35.0,58.0,10.0,0.2,78.3,10.8,19.7,1.6,10.7,1.0,7.0,2.972,0,1,420.0,0
29.0,87.0,18.0,0.0,80.0,11.8,28.3,2.8,11.8,3.2,7.0,4.271000000000001,0,1,234.0,0
33.0,57.0,16.0,0.0,87.5,15.7,37.6,6.7,15.7,9.0,7.0,8.189,0,1,688.0,1
34.0,59.0,16.0,0.0,88.1,19.5,47.2,7.4,19.5,10.9,7.0,9.849000000000002,0,1,656.0,1
36.0,56.0,16.0,0.0,88.9,23.8,57.1,8.2,23.8,13.2,7.0,11.796,0,1,704.0,1
37.0,55.0,15.0,0.0,89.3,28.3,67.2,8.3,28.3,14.5,7.0,13.239,0,1,675.0,1
38.0,52.0,14.0,0.0,78.3,4.4,10.5,2.0,4.4,0.8,8.0,1.7240000000000002,0,1,672.0,0
40.0,34.0,14.0,0.0,93.3,10.8,21.4,13.8,10.6,13.5,8.0,10.426000000000002,0,1,924.0,1
39.0,33.0,17.0,0.0,93.7,17.1,32.1,17.2,16.9,19.5,8.0,14.765,0,1,1139.0,1
38.0,35.0,15.0,0.0,93.8,23.0,42.7,15.7,22.9,20.9,8.0,16.221,0,1,975.0,1
34.0,42.0,17.0,0.1,88.3,23.6,52.5,19.0,23.5,12.6,8.0,13.665999999999999,0,1,986.0,1
30.0,54.0,14.0,3.1,70.5,11.0,9.1,1.3,10.5,0.8,8.0,2.786,0,1,644.0,0
34.0,63.0,13.0,2.9,69.7,7.2,9.8,1.2,6.9,0.6,8.0,1.965,0,1,481.0,0
37.0,56.0,11.0,0.0,87.4,11.2,20.2,5.2,11.0,5.9,8.0,5.718,0,1,484.0,1
39.0,43.0,12.0,0.0,91.7,16.5,30.9,9.6,16.4,12.7,8.0,10.415,0,1,684.0,1
39.0,39.0,15.0,0.2,89.3,15.8,35.4,8.2,15.8,10.7,8.0,9.219,0,1,915.0,1
40.0,31.0,15.0,0.0,94.2,22.5,46.3,16.6,22.4,21.6,8.0,16.589,0,1,1035.0,1
39.0,21.0,17.0,0.4,93.0,18.4,41.5,15.5,18.4,18.8,8.0,14.457,0,1,1343.0,1
35.0,34.0,16.0,0.2,88.3,16.9,45.1,7.5,17.5,10.5,8.0,9.336,0,1,1056.0,1
37.0,40.0,13.0,0.0,91.9,22.3,55.5,10.8,22.3,15.7,8.0,13.034000000000002,0,1,780.0,1
35.0,46.0,13.0,0.3,83.9,16.9,54.2,3.5,19.0,5.5,8.0,6.824000000000002,0,1,702.0,1
40.0,41.0,10.0,0.1,92.0,22.6,65.1,9.5,24.2,14.8,8.0,12.799,0,1,590.0,1
42.0,24.0,9.0,0.0,96.0,30.3,76.4,15.7,30.4,24.0,8.0,18.98,1,1,684.0,1
37.0,37.0,14.0,0.0,94.3,35.9,86.8,16.0,35.9,26.3,8.0,21.037000000000003,0,1,882.0,1
35.0,66.0,15.0,0.1,82.7,32.7,96.8,3.3,35.5,7.7,8.0,10.944,0,1,510.0,1
36.0,81.0,15.0,0.0,83.7,34.4,107.0,3.8,38.1,9.0,8.0,12.071,0,1,285.0,1
36.0,71.0,15.0,0.0,86.0,36.9,117.1,5.1,41.3,12.2,8.0,14.261,0,1,435.0,1
37.0,53.0,14.0,0.0,89.5,41.1,127.5,8.0,45.5,18.1,8.0,18.061000000000003,0,1,658.0,1
36.0,43.0,16.0,0.0,91.2,46.1,137.7,11.5,50.2,24.5,8.0,22.269,0,1,912.0,1
35.0,38.0,15.0,0.0,92.1,51.3,147.7,12.2,54.9,26.9,8.0,24.312,0,1,930.0,1
34.0,40.0,18.0,0.0,92.1,56.3,157.5,14.3,59.5,31.1,8.0,27.328000000000003,0,1,1080.0,1
33.0,37.0,16.0,0.0,92.2,61.3,167.2,13.1,64.0,30.3,8.0,27.669,0,1,1008.0,1
36.0,54.0,14.0,0.0,91.0,65.9,177.3,10.0,68.0,26.1,8.0,26.158,0,1,644.0,1
35.0,56.0,14.0,0.4,79.2,37.0,166.0,2.1,30.6,6.1,8.0,9.094000000000001,0,1,616.0,0
35.0,53.0,17.0,0.5,80.2,20.7,149.2,2.7,30.6,5.9,8.0,9.137000000000002,0,1,799.0,1
34.0,49.0,15.0,0.0,89.2,24.8,159.1,8.1,35.7,16.0,8.0,15.279,0,1,765.0,1
30.0,59.0,19.0,0.0,89.1,27.8,168.2,9.8,39.3,19.4,8.0,17.680999999999997,0,1,779.0,1
29.0,86.0,16.0,0.0,37.9,0.9,8.2,0.1,1.4,0.0,9.0,0.372,0,1,224.0,0
28.0,67.0,19.0,0.0,75.4,2.9,16.3,2.0,4.0,0.8,9.0,1.609,0,1,627.0,0
28.0,75.0,16.0,0.0,82.2,4.4,24.3,3.3,6.0,2.5,9.0,2.9410000000000003,0,1,400.0,1
30.0,66.0,15.0,0.2,73.5,4.1,26.6,1.5,6.0,0.7,9.0,1.8740000000000003,0,1,510.0,0
30.0,58.0,12.0,4.1,66.1,4.0,8.4,1.0,3.9,0.4,9.0,1.2420000000000002,0,1,504.0,0
34.0,71.0,14.0,6.5,64.5,3.3,9.1,1.0,3.5,0.4,9.0,1.157,0,1,406.0,0
31.0,62.0,15.0,0.0,83.3,5.8,17.7,3.8,6.4,3.2,9.0,3.42,0,1,570.0,1
30.0,88.0,14.0,0.0,82.5,6.6,26.1,3.0,8.1,2.7,9.0,3.3720000000000003,0,1,168.0,1
30.0,80.0,15.0,0.0,83.1,7.9,34.5,3.5,10.0,3.7,9.0,4.259999999999999,0,1,300.0,1
29.0,74.0,15.0,1.1,59.5,4.7,8.2,0.8,4.6,0.3,9.0,1.284,0,1,390.0,0
30.0,73.0,14.0,0.0,79.2,6.5,16.6,2.1,6.6,1.2,9.0,2.3070000000000004,0,1,378.0,0
31.0,72.0,14.0,0.0,84.2,8.3,25.2,3.8,9.1,3.9,9.0,4.23,0,1,392.0,1
29.0,49.0,19.0,0.0,88.6,11.5,33.4,9.1,12.4,10.3,9.0,8.529000000000002,0,1,969.0,1
28.0,81.0,15.0,0.0,84.6,12.6,41.5,4.3,14.3,5.7,9.0,6.075,0,1,285.0,1
32.0,51.0,13.0,0.0,88.7,16.0,50.2,6.9,17.8,9.8,9.0,8.973,0,1,637.0,1
33.0,26.0,13.0,0.0,93.9,21.2,59.2,14.2,22.4,19.3,9.0,15.18,1,1,962.0,1
34.0,44.0,12.0,0.0,92.5,25.2,63.3,11.2,26.2,17.5,9.0,14.604,0,1,672.0,1
36.0,33.0,13.0,0.1,90.6,25.8,77.8,9.0,28.2,15.4,9.0,13.739,0,1,871.0,1
